State,County,REP votes,DEM votes,IND votes,Total votes,REP/DEM
Colorado,Eagle County,8153,12652,1163,22611,DEM
Colorado,Yuma County,3755,701,113,4664,REP
Colorado,Prowers County,3508,1173,154,4978,REP
Colorado,Jackson County,628,171,41,862,REP
Colorado,Conejos County,1885,1753,163,3970,REP
Colorado,Grand County,4467,3319,481,8513,REP
Colorado,Custer County,2059,797,141,3064,REP
Colorado,Sedgwick County,1015,267,28,1364,REP
Colorado,Clear Creek County,2426,2585,342,5532,DEM
Colorado,El Paso County,176506,105807,19408,313273,REP
Colorado,Rio Grande County,3060,1985,229,5488,REP
Colorado,Alamosa County,3031,3168,399,6897,DEM
Colorado,Douglas County,100178,67045,9832,182918,REP
Colorado,Arapahoe County,109638,148365,14472,281658,DEM
Colorado,Weld County,75882,45869,7352,133790,REP
Colorado,Garfield County,13071,11205,1124,26328,REP
Colorado,Dolores County,936,227,29,1230,REP
Colorado,Pitkin County,2522,7239,366,10387,DEM
Colorado,Rio Blanco County,2782,433,117,3436,REP
Colorado,San Miguel County,1030,2960,154,4311,DEM
Colorado,La Plata County,12471,15300,1834,30722,DEM
Colorado,Broomfield County,14272,19530,2146,37342,DEM
Colorado,Mineral County,344,237,42,652,REP
Colorado,Pueblo County,27746,27945,2760,60112,DEM
Colorado,Huerfano County,1875,1631,150,3772,REP
Colorado,Cheyenne County,905,127,30,1076,REP
Colorado,Denver County,43637,174611,8609,232291,DEM
Colorado,Moffat County,5293,874,177,6510,REP
Colorado,Hinsdale County,339,197,27,589,REP
Colorado,Lincoln County,1873,399,75,2402,REP
Colorado,Logan County,7272,1843,317,9702,REP
Colorado,Montrose County,14303,5438,729,21070,REP
Colorado,Routt County,5149,7487,710,13772,DEM
Colorado,Summit County,5064,9502,983,16061,DEM
Colorado,Saguache County,1109,1345,85,2707,DEM
Colorado,Lake County,1264,1600,172,3175,DEM
Colorado,Kit Carson County,2894,526,92,3613,REP
Colorado,Bent County,1166,581,80,1892,REP
Colorado,Adams County,73807,86471,8640,175125,DEM
Colorado,Washington County,2284,289,81,2708,REP
Colorado,Park County,6053,3351,496,10245,REP
Colorado,Ouray County,1337,1690,149,3287,DEM
Colorado,Morgan County,8104,3128,344,11888,REP
Colorado,Jefferson County,130233,151885,16934,309529,DEM
Colorado,Mesa County,48129,20958,3440,74876,REP
Colorado,Boulder County,38766,124715,7395,176735,DEM
Colorado,San Juan County,215,265,17,506,DEM
Colorado,Otero County,2988,1719,182,5038,REP
Colorado,Fremont County,15066,5275,881,21880,REP
Colorado,Baca County,1716,278,49,2107,REP
Colorado,Las Animas County,3656,2614,246,6693,REP
Colorado,Crowley County,1069,336,62,1511,REP
Colorado,Delta County,11584,4048,466,16661,REP
Colorado,Phillips County,1791,436,60,2332,REP
Colorado,Gunnison County,3250,5068,585,9299,DEM
Colorado,Larimer County,82624,92170,11322,193897,DEM
Colorado,Archuleta County,4234,2489,328,7290,REP
Colorado,Kiowa County,726,91,24,853,REP
Colorado,Teller County,9580,3547,660,14203,REP
Colorado,Costilla County,581,1109,80,1820,DEM
Colorado,Gilpin County,1564,1634,194,3574,DEM
Colorado,Elbert County,11536,3056,636,15689,REP
Colorado,Chaffee County,5283,4773,523,10999,REP
Colorado,Montezuma County,7771,3920,531,12706,REP
